Name,Lat,Lng,Description,Roadmap,Category,ImageURL
Handmade Silk Scarf,25.3176,82.9739,Authentic hand-loomed silk from local weavers using natural dyes.,1. Build a 'Heritage' brand story. 2. Partner with luxury boutiques in Paris. 3. Get GI tagging certification.,weaving,static/silk.png
Terracotta Pottery,25.28,82.95,Traditional clay pots made by village artisans for sustainable cooling.,1. Design modular storage for urban homes. 2. Use shock-proof eco-packaging. 3. Market as plastic-free health-ware.,default,static/pottery.png
Pink Enamel Inlay,25.3,83.01,Gulabi Meenakari - rare pink enameling on silver jewelry.,1. Showcase at international jewelry fairs. 2. Launch a custom-design web portal. 3. Collaborate with fashion influencers.,jewelry,static/enamel.png
Wooden Toy Craft,25.35,82.98,Hand-carved wooden toys painted with natural lacquers.,"1. Market as non-toxic, sustainable alternatives. 2. Bulk-export to European educational stores. 3. Create DIY assembly kits.",default,static/toy.png
Banarasi Glass Beads,25.33,83.0,World-famous glass beads used in global high-fashion jewelry.,1. Direct-to-designer B2B sales. 2. Open a 'Make Your Own' experience center. 3. Expand into wearable tech accessories.,tech,static/beads.png
Zardosi Embroidery,25.32,82.99,Intricate gold and silver thread work on silk fabrics.,1. Digitize patterns for bespoke orders. 2. Collaborate with global bridal-wear designers. 3. Start a high-end repair service.,weaving,static/embroidery.png
Chunar Stone Work,25.4,83.02,Hand-carved soft stone sculptures and lattice (jaali) work.,"1. Sell as luxury architectural interior elements. 2. Create smaller, shippable home decor pieces. 3. Use 3D scanning for replicas.",default,static/chunar.png
Bhadohi Carpets,25.15,82.58,Hand-knotted carpets with unique traditional motifs.,1. Use AR to let customers visualize rugs in their homes. 2. Launch 'Fair Trade' collections. 3. Focus on custom hotel contracts.,weaving,static/carpets.png
Copper Enamelware,25.31,82.985,Vibrant enameled copper plates and kitchenware.,1. Reposition as luxury designer tableware. 2. Partner with Michelin-star restaurants. 3. Sell via high-end kitchenware retailers.,tech,static/copper.png
Bamboo Cane Crafts,25.29,82.96,Traditional furniture and mats made from locally sourced bamboo.,1. Develop flat-pack bamboo furniture designs. 2. Promote as zero-carbon footprint furniture. 3. Export to eco-conscious office spaces.,default,static/bamboo.png
